,Unnamed: 0,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,bonus,PlayerFP,GameFP/36,TeamFP,Status,GP,TOTfp,TOTmin,FPperMIN,expFP,delta,MPG,teamperc,percavg,rollingMin
21,21,NBA 2020-2021 Regular Season,22000001,12/22/2020,201145,Jeff Green,F,Brooklyn,Golden State,H,0,17.28,3,4,1,2,0,0,0,0,0,1,3,1,1,0,7,11.02,3+,0.0,10.5,21.9,265.75,0.47,32,586.5,847.8599999999999,0.69,11.9,-1.4000000000000004,26.5,0.0395108184383819,,
22,22,NBA 2020-2021 Regular Season,22000001,12/22/2020,1627752,Taurean Prince,G,Brooklyn,Golden State,H,0,16.1,0,1,0,1,1,2,0,1,1,0,1,1,0,1,1,4.45,3+,0.0,6.25,14.0,265.75,0.37,27,506.0,592.0,0.85,13.7,-7.449999999999999,21.9,0.0235183443085606,,
23,23,NBA 2020-2021 Regular Season,22000001,12/22/2020,1629617,Reggie Perry,F-C,Brooklyn,Golden State,H,0,7.77,1,3,0,1,0,0,1,1,2,1,0,0,0,0,2,14.7,3+,0.0,6.0,27.8,265.75,0.0,14,142.75,147.22000000000003,0.97,7.5,-1.5,10.5,0.0225776105362182,,
24,24,NBA 2020-2021 Regular Season,22000001,12/22/2020,1628971,Bruce Brown,G-F,Brooklyn,Golden State,H,0,7.52,1,3,0,1,0,0,0,1,1,1,1,0,2,0,2,25.31,3+,0.0,3.75,18.0,265.75,0.55,29,482.5,577.33,0.84,6.3,-2.55,19.9,0.0141110065851364,,
25,25,NBA 2020-2021 Regular Season,22000001,12/22/2020,1627789,Timothe Luwawu-Cabarrot,G-F,Brooklyn,Golden State,H,0,6.6,2,6,1,3,0,0,1,1,2,0,2,0,1,0,5,40.38,3+,0.0,7.5,40.9,265.75,0.16,32,456.0,622.33,0.73,4.8,2.7,19.4,0.0282220131702728,,
26,26,NBA 2020-2021 Regular Season,22000001,12/22/2020,1629066,Rodions Kurucs,F,Brooklyn,Golden State,H,0,6.6,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,5.77,3+,0.0,4.75,25.9,265.75,0.0,15,51.75,82.31,0.63,4.2,0.5499999999999998,5.5,0.0178739416745061,,
27,27,NBA 2020-2021 Regular Season,22000001,12/22/2020,204020,Tyler Johnson,G,Brooklyn,Golden State,H,0,5.98,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,6.37,3+,0.0,3.25,19.6,265.75,0.07,15,135.0,189.93,0.71,4.2,-0.9500000000000002,12.7,0.0122295390404515,,
28,28,NBA 2020-2021 Regular Season,22000002,12/22/2020,202695,Kawhi Leonard,F,LA Clippers,LA Lakers,R,1,34.0,10,26,1,8,5,5,0,2,2,3,5,2,3,0,26,37.53,3+,0.0,36.0,38.1,224.0,1.0,26,1223.0,903.57,1.35,45.9,-9.9,34.8,0.1607142857142857,,
29,29,NBA 2020-2021 Regular Season,22000002,12/22/2020,201587,Nicolas Batum,G-F,LA Clippers,LA Lakers,R,1,28.17,1,4,1,3,0,0,1,5,6,6,2,2,1,0,3,7.26,3+,0.0,23.5,30.0,224.0,1.0,30,675.5,891.3699999999999,0.76,21.4,2.1000000000000014,29.7,0.1049107142857142,,
30,30,NBA 2020-2021 Regular Season,22000002,12/22/2020,201586,Serge Ibaka,F,LA Clippers,LA Lakers,R,1,20.53,5,7,2,3,3,5,2,4,6,0,3,0,1,1,15,20.32,3+,0.0,25.0,43.8,224.0,1.0,32,812.5,764.3799999999999,1.06,21.8,3.1999999999999997,23.9,0.1116071428571428,,
31,31,NBA 2020-2021 Regular Season,22000002,12/22/2020,202331,Paul George,F,LA Clippers,LA Lakers,R,1,35.77,13,18,5,8,2,2,0,6,6,3,3,1,5,0,33,27.31,3+,0.0,47.0,47.3,224.0,1.0,23,1017.0,767.9999999999999,1.32,47.2,-0.2000000000000028,33.4,0.2098214285714285,,
32,32,NBA 2020-2021 Regular Season,22000002,12/22/2020,201976,Patrick Beverley,G,LA Clippers,LA Lakers,R,1,22.12,4,9,2,5,0,0,4,2,6,3,4,0,2,0,10,20.34,3+,0.0,22.0,35.8,224.0,1.0,23,463.0,556.3400000000001,0.83,18.4,3.6000000000000014,24.2,0.0982142857142857,,
